date,location,count,fork_length,weight,flow,time_for_10_revolutions,tubs_of_debris,trap_condition_code,water_temperature,turbidity,weather,comments
1996-02-03,Mill Creek RSTR,2,35,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-03,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-03,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-03,Mill Creek RSTR,1,46,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-03,Mill Creek RSTR,1,55,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-03,Mill Creek RSTR,1,56,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
1996-02-08,Mill Creek RSTR,1,40,NA,NA,NA,NA,normal,48,NA,NA,"Water level decreasing, water clear  10 fry=4g."
1996-02-08,Mill Creek RSTR,5,35,NA,NA,NA,NA,normal,48,NA,NA,"Water level decreasing, water clear  10 fry=4g."
1996-02-08,Mill Creek RSTR,5,34,NA,NA,NA,NA,normal,48,NA,NA,"Water level decreasing, water clear  10 fry=4g."
1996-02-08,Mill Creek RSTR,4,39,NA,NA,NA,NA,normal,48,NA,NA,"Water level decreasing, water clear  10 fry=4g."
1996-02-08,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,48,NA,NA,"Water level decreasing, water clear  10 fry=4g."
1996-02-09,Mill Creek RSTR,2,35,NA,NA,NA,NA,normal,48,NA,NA,9 fry=3g.
1996-02-09,Mill Creek RSTR,4,36,NA,NA,NA,NA,normal,48,NA,NA,9 fry=3g.
1996-02-09,Mill Creek RSTR,3,37,NA,NA,NA,NA,normal,48,NA,NA,9 fry=3g.
1996-02-10,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,50,NA,NA,"Water level 14"" from wall.  Trap fishing 12' from wall"
1996-02-10,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,50,NA,NA,"Water level 14"" from wall.  Trap fishing 12' from wall"
1996-02-10,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,50,NA,NA,"Water level 14"" from wall.  Trap fishing 12' from wall"
1996-02-11,Mill Creek RSTR,2,38,NA,NA,NA,NA,normal,48,NA,NA,NA
1996-02-11,Mill Creek RSTR,3,37,NA,NA,NA,NA,normal,48,NA,NA,NA
1996-02-11,Mill Creek RSTR,5,36,NA,NA,NA,NA,normal,48,NA,NA,NA
1996-02-11,Mill Creek RSTR,2,34,NA,NA,NA,NA,normal,48,NA,NA,NA
1996-02-11,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,48,NA,NA,NA
1996-02-12,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-02-12,Mill Creek RSTR,3,36,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-02-12,Mill Creek RSTR,4,35,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-02-12,Mill Creek RSTR,1,34,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-02-12,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-02-13,Mill Creek RSTR,2,34,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow reduced, trap fishing good"
1996-02-13,Mill Creek RSTR,6,35,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow reduced, trap fishing good"
1996-02-13,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow reduced, trap fishing good"
1996-02-13,Mill Creek RSTR,3,39,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow reduced, trap fishing good"
1996-02-14,Mill Creek RSTR,4,35,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear flow has subsided, first wildflowers are blooming"
1996-02-14,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear flow has subsided, first wildflowers are blooming"
1996-02-14,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear flow has subsided, first wildflowers are blooming"
1996-02-15,Mill Creek RSTR,1,34,NA,NA,NA,NA,normal,48,NA,NA,5 fry=1.5g.
1996-02-15,Mill Creek RSTR,3,36,NA,NA,NA,NA,normal,48,NA,NA,5 fry=1.5g.
1996-02-15,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,48,NA,NA,5 fry=1.5g.
1996-02-16,Mill Creek RSTR,3,37,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,34,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,105,12,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,14,36,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,6,34,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,9,35,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,10,37,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,5,38,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,2,58,2,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,59,2,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,1,60,2,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-16,Mill Creek RSTR,114,NA,NA,NA,NA,NA,normal,50,NA,NA,"7 fry=2g.  Water clear, flow steady.   Man fishing by screwtrap-escaped by bike when he saw vehicle."
1996-02-17,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,3,38,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,9,35,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,56,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,45,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,41,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,2,39,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,6,38,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,7,33,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,5,36,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,8,34,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,16,NA,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,9,37,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-17,Mill Creek RSTR,1,54,NA,NA,NA,NA,normal,50,NA,NA,"Water 14"" from top of retaining wall."
1996-02-18,Mill Creek RSTR,1,47,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,75,NA,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,1,52,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,1,58,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,6,33,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,15,34,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,15,35,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,3,36,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-18,Mill Creek RSTR,5,37,NA,NA,NA,NA,normal,NA,NA,NA,Water to high to get to trap
1996-02-27,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,NA,NA,rain,Water clear; flow normal
1996-02-27,Mill Creek RSTR,1,41,1,NA,NA,NA,normal,NA,NA,rain,Water clear; flow normal
1996-02-28,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,42,NA,rain,"Water clear, flow normal"
1996-03-06,Mill Creek RSTR,2,45,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,2,38,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,4,36,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,53,1.5,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,3,35,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,3,37,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,41,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,44,1,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,45,1,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,40,NA,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,52,2,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,56,1.5,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,65,2.5,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,68,3,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,1,42,1,NA,NA,NA,normal,44,NA,NA,NA
1996-03-06,Mill Creek RSTR,2,50,2,NA,NA,NA,normal,44,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,37,NA,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,50,1,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,54,1.5,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,2,46,0.5,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,42,0.5,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,41,0.5,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,40,0.5,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,1,39,NA,NA,NA,NA,NA,47,NA,NA,NA
1996-03-07,Mill Creek RSTR,2,35,NA,NA,NA,NA,NA,47,NA,NA,NA
1996-03-08,Mill Creek RSTR,2,37,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,47,1,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,42,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,2,38,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,43,1,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-08,Mill Creek RSTR,1,41,1,NA,NA,NA,normal,49,NA,NA,"Water clear, flow normal.  No fish"
1996-03-09,Mill Creek RSTR,1,45,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-03-09,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-03-09,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-03-09,Mill Creek RSTR,1,41,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-03-09,Mill Creek RSTR,1,43,NA,NA,NA,NA,normal,49,NA,NA,NA
1996-03-10,Mill Creek RSTR,1,45,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,2,36,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,1,48,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,1,65,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,3,35,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-10,Mill Creek RSTR,2,37,NA,NA,NA,NA,normal,48,NA,rain,"Water level low, water clear, no fish"
1996-03-11,Mill Creek RSTR,3,37,NA,NA,NA,NA,normal,NA,NA,NA,No fish
1996-03-11,Mill Creek RSTR,9,34,NA,NA,NA,NA,normal,NA,NA,NA,No fish
1996-03-11,Mill Creek RSTR,8,35,NA,NA,NA,NA,normal,NA,NA,NA,No fish
1996-03-11,Mill Creek RSTR,5,36,NA,NA,NA,NA,normal,NA,NA,NA,No fish
1996-03-12,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,10,36,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,6,37,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,7,38,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,17,35,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,7,34,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,2,33,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-12,Mill Creek RSTR,62,NA,NA,NA,NA,NA,normal,48,NA,NA,Flow up
1996-03-13,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,2,38,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,1,36,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,11,37,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,6,38,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,3,39,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,1,49,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,8,36,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,3,34,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,1,58,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-13,Mill Creek RSTR,6,35,NA,NA,NA,NA,normal,47,NA,NA,"Flow normal, water clear"
1996-03-14,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,1,50,1,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,1,43,0.5,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,5,38,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,1,45,1,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,4,37,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,1,34,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,5,35,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-14,Mill Creek RSTR,4,36,NA,NA,NA,NA,normal,48,NA,NA,"6 fry=2g.  Water clear, flow normal"
1996-03-15,Mill Creek RSTR,1,61,1.5,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,11,36,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,5,39,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,3,38,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,5,37,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,4,34,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,1,42,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,1,40,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-15,Mill Creek RSTR,6,35,NA,NA,NA,NA,normal,48,NA,NA,"Water clear, flow moderate.  No fish"
1996-03-16,Mill Creek RSTR,1,37,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,5,38,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,7,35,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,5,37,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,4,34,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,2,39,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-16,Mill Creek RSTR,4,36,NA,NA,NA,NA,normal,48,NA,NA,"Windy, water clear and low."
1996-03-17,Mill Creek RSTR,9,36,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,9,34,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,2,38,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,1,33,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,14,35,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,9,37,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,1,39,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,1,40,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,1,47,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-17,Mill Creek RSTR,1,32,NA,NA,NA,NA,normal,48,NA,NA,"No fish, water clear, flow up"
1996-03-18,Mill Creek RSTR,9,34,NA,NA,NA,NA,normal,50,NA,NA,"No fish, water clear, flow normal"
1996-03-18,Mill Creek RSTR,3,33,NA,NA,NA,NA,normal,50,NA,NA,"No fish, water clear, flow normal"
